id,subject,ground_truth,predicted,correct,initial_answer
questao_127,Natural Sciences,A,A,True,A
questao_128,Natural Sciences,E,C,False,C
questao_129,Natural Sciences,A,C,False,A
questao_130,Natural Sciences,A,E,False,E
questao_131,Natural Sciences,C,B,False,B
questao_132,Natural Sciences,C,C,True,C
questao_133,Natural Sciences,A,A,True,A
questao_134,Natural Sciences,E,E,True,E
questao_135,Natural Sciences,D,B,False,D
questao_136,Mathematics,C,C,True,C
questao_137,Mathematics,E,A,False,A
questao_138,Mathematics,B,B,True,B
questao_139,Mathematics,C,E,False,E
questao_140,Mathematics,E,D,False,D
questao_141,Mathematics,A,D,False,A
questao_142,Mathematics,D,D,True,D
questao_143,Mathematics,B,B,True,B
questao_144,Mathematics,B,B,True,B
questao_145,Mathematics,C,B,False,E
questao_146,Mathematics,E,A,False,A
questao_147,Mathematics,A,A,True,A
questao_148,Mathematics,D,C,False,C
questao_149,Mathematics,D,B,False,B
questao_150,Mathematics,D,D,True,D
questao_151,Mathematics,A,A,True,A
questao_152,Mathematics,B,D,False,B
questao_153,Mathematics,B,C,False,C
questao_154,Mathematics,A,B,False,B
questao_155,Mathematics,B,B,True,B
questao_156,Mathematics,B,D,False,D
questao_157,Mathematics,C,D,False,C
questao_158,Mathematics,C,C,True,C
questao_159,Mathematics,D,D,True,D
questao_160,Mathematics,C,A,False,A
questao_161,Mathematics,C,A,False,A
questao_162,Mathematics,E,E,True,E
questao_163,Mathematics,C,A,False,C
questao_164,Mathematics,E,C,False,D
questao_165,Mathematics,D,B,False,B
questao_166,Mathematics,B,E,False,
questao_167,Mathematics,A,D,False,D
questao_168,Mathematics,C,B,False,C
questao_169,Mathematics,A,B,False,B
questao_170,Mathematics,D,B,False,A
questao_171,Mathematics,E,D,False,C
questao_172,Mathematics,C,C,True,C
questao_173,Mathematics,A,A,True,A
questao_174,Mathematics,B,E,False,E
questao_175,Mathematics,E,E,True,E
questao_176,Mathematics,D,D,True,D
questao_177,Mathematics,A,C,False,C
questao_178,Mathematics,D,D,True,D
questao_179,Mathematics,C,C,True,C
questao_180,Mathematics,B,C,False,B
